,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats
0,20,2014,450000,145500,0,1,1,1,23.4,1248.0,74.0,5.0
1,26,2014,370000,120000,0,1,1,2,21.14,1498.0,103.52,5.0
2,10,2006,158000,140000,1,1,1,3,17.7,1497.0,78.0,5.0
3,11,2010,225000,127000,0,1,1,1,23.0,1396.0,90.0,5.0
4,20,2007,130000,120000,1,1,1,1,16.1,1298.0,88.2,5.0
5,11,2017,440000,45000,1,1,1,1,20.14,1197.0,81.86,5.0
7,20,2001,45000,5000,1,1,1,2,16.1,796.0,37.0,4.0
8,28,2011,350000,90000,0,1,1,1,23.59,1364.0,67.1,5.0
9,9,2013,200000,169000,0,1,1,1,20.0,1399.0,68.1,5.0
10,25,2014,500000,68000,0,1,1,2,19.01,1461.0,108.45,5.0
11,20,2005,92000,100000,1,1,1,2,17.3,993.0,60.0,5.0
12,20,2009,280000,140000,0,1,1,2,19.3,1248.0,73.9,5.0
14,20,2009,180000,90000,1,1,1,2,18.9,1061.0,67.0,5.0
15,19,2016,400000,40000,1,1,1,1,18.15,1198.0,82.0,5.0
16,20,2016,778000,70000,0,1,1,2,24.52,1248.0,88.5,7.0
17,11,2012,500000,53000,0,1,1,2,23.0,1396.0,90.0,5.0
18,20,2002,150000,80000,1,1,1,2,19.7,796.0,46.3,5.0
19,11,2016,680000,100000,0,1,1,1,22.54,1396.0,88.73,5.0
20,19,2011,174000,100000,0,1,1,2,21.0,1461.0,64.1,5.0
21,10,2017,950000,50000,0,1,1,1,25.5,1498.0,98.6,5.0
22,20,2015,525000,40000,0,1,1,1,26.59,1248.0,74.0,5.0
23,20,2012,600000,72000,0,1,1,1,21.5,1248.0,88.8,5.0
24,27,2018,500000,35000,1,1,1,1,20.3,1199.0,83.81,5.0
25,20,2016,575000,45000,1,1,1,1,21.4,1197.0,83.1,5.0
26,20,2017,275000,28000,1,1,1,1,24.7,796.0,47.3,5.0
27,4,2013,300000,70000,0,1,1,1,18.2,1248.0,73.8,7.0
28,20,2009,220000,120000,1,1,1,1,18.9,1061.0,67.0,5.0
29,20,2018,254999,25000,1,1,1,1,16.8,796.0,34.2,8.0
30,20,2017,670000,70000,0,1,1,1,24.3,1248.0,88.5,5.0
32,20,2012,150000,35000,1,1,1,2,14.0,796.0,35.0,5.0
33,11,2018,730000,2388,1,1,1,1,18.6,1197.0,81.83,5.0
34,20,2017,650000,16200,0,1,1,1,24.3,1248.0,88.5,5.0
36,20,2019,366000,15000,1,1,1,1,23.95,998.0,67.1,5.0
37,11,2019,1149000,5000,1,1,1,1,17.0,1591.0,121.3,5.0
38,6,2016,150000,42000,1,1,1,1,20.63,1198.0,67.0,5.0
39,27,2011,425000,60000,0,1,1,2,13.93,2179.0,138.03,7.0
40,20,2012,150000,76000,1,1,1,1,16.1,796.0,37.0,4.0
41,14,2019,2100000,5000,1,1,0,1,16.0,1368.0,160.77,5.0
42,10,2018,925000,28900,1,0,1,1,17.8,1497.0,117.3,5.0
43,10,2013,425000,86300,1,0,1,1,16.8,1497.0,116.3,5.0
44,20,2018,675000,23300,1,0,0,1,18.5,1197.0,83.14,5.0
45,20,2018,819999,32600,0,0,1,1,24.3,1248.0,88.5,5.0
46,20,2018,390000,10300,1,0,1,1,23.95,998.0,67.05,5.0
47,28,2014,1500000,77000,0,0,1,1,12.55,2982.0,168.5,7.0
48,28,2013,700000,99000,0,0,1,1,12.99,2494.0,100.0,7.0
49,21,2014,1450000,27800,0,0,0,2,14.8,2143.0,120.7,5.0
50,10,2015,425000,49800,0,0,1,1,24.7,1498.0,98.63,5.0
51,22,2013,1090000,151000,0,0,1,1,13.5,2477.0,175.56,7.0
52,10,2015,600000,54700,0,0,1,1,26.0,1498.0,98.6,5.0
53,20,2018,850000,64000,1,0,1,1,20.65,1462.0,103.25,5.0
54,10,2015,525000,63000,0,0,1,1,27.3,1498.0,98.6,5.0
55,28,2016,1650000,127700,0,0,0,2,11.36,2755.0,171.5,7.0
56,28,2016,950000,99000,0,0,1,1,12.99,2494.0,100.6,7.0
57,2,2013,1750000,33900,0,0,0,2,17.68,1968.0,174.33,5.0
58,28,2018,1590000,25000,1,0,0,1,14.28,1798.0,138.03,5.0
59,2,2013,1689999,50000,0,0,0,1,18.53,1968.0,187.74,5.0
